epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,899.936,0.96558,1.48959,0.97717,0.91886,0.8,0.79599,0.57003,1.28378,3.63773,1.00459,0.00099314,0.00099314,0.00099314
44,913.572,0.9121,1.45452,0.94475,1,0.71484,0.796,0.56316,1.30638,3.41964,1.03689,0.000999282,0.000999282,0.000999282
45,929.158,0.95656,1.36761,1.0015,1,0.71484,0.796,0.56316,1.30638,3.41964,1.03689,0.00100463,0.00100463,0.00100463
46,945.079,0.85105,1.48504,0.95584,1,0.75082,0.79601,0.5437,1.25977,3.16261,1.06068,0.00100919,0.00100919,0.00100919
47,959.041,1.20092,1.57504,1.07,1,0.75082,0.79601,0.5437,1.25977,3.16261,1.06068,0.00101296,0.00101296,0.00101296
48,973.008,0.9608,1.41801,0.9616,1,0.75315,0.79604,0.57025,1.22971,2.98289,1.06931,0.00101593,0.00101593,0.00101593
49,986.635,0.87657,1.60841,1.00529,1,0.75315,0.79604,0.57025,1.22971,2.98289,1.06931,0.00101811,0.00101811,0.00101811
50,1263.01,0.87263,1.29527,0.9767,1,0.75462,0.79603,0.56366,1.24304,2.81274,1.10301,0.0010195,0.0010195,0.0010195
51,1279.87,0.843,1.3813,0.9419,1,0.75462,0.79603,0.56366,1.24304,2.81274,1.10301,0.00101,0.00101,0.00101
52,1293.89,0.80458,1.22799,0.91212,1,0.75771,0.79608,0.58194,1.33791,2.84516,1.15435,0.0009902,0.0009902,0.0009902
53,1308.51,0.85136,1.51212,0.9444,1,0.75771,0.79608,0.58194,1.33791,2.84516,1.15435,0.0009704,0.0009704,0.0009704
54,1327.03,0.93396,1.58469,0.99444,1,0.762,0.7961,0.55301,1.44074,2.86815,1.19181,0.0009506,0.0009506,0.0009506
55,1345.55,0.87525,1.42568,0.92476,1,0.762,0.7961,0.55301,1.44074,2.86815,1.19181,0.0009308,0.0009308,0.0009308
56,1361.57,0.79285,1.2455,0.90935,1,0.78433,0.79756,0.55388,1.34631,2.66999,1.14807,0.000911,0.000911,0.000911
57,1379.81,0.82503,1.38837,0.9427,1,0.78433,0.79756,0.55388,1.34631,2.66999,1.14807,0.0008912,0.0008912,0.0008912
58,1394.54,0.82447,1.13232,0.93184,1,0.79624,0.93786,0.58681,1.3833,2.34147,1.13499,0.0008714,0.0008714,0.0008714
59,1407.23,0.84409,1.39206,0.89928,1,0.79624,0.93786,0.58681,1.3833,2.34147,1.13499,0.0008516,0.0008516,0.0008516
60,1423.96,0.79063,1.26921,0.96114,1,0.95059,0.995,0.65825,1.32653,2.17465,1.09863,0.0008318,0.0008318,0.0008318
61,1437.48,0.80434,1.2678,0.93348,1,0.95059,0.995,0.65825,1.32653,2.17465,1.09863,0.000812,0.000812,0.000812
62,1450.7,0.85363,1.19563,0.92196,1,0.95212,0.995,0.64314,1.24806,2.18892,1.08613,0.0007922,0.0007922,0.0007922
63,1464.18,0.80429,1.36651,0.95378,1,0.95212,0.995,0.64314,1.24806,2.18892,1.08613,0.0007724,0.0007724,0.0007724
64,1477.68,0.85099,1.40959,0.91165,1,0.94622,0.995,0.66955,1.2509,2.08797,1.10625,0.0007526,0.0007526,0.0007526
65,1490.88,0.84028,1.18016,0.94529,1,0.94622,0.995,0.66955,1.2509,2.08797,1.10625,0.0007328,0.0007328,0.0007328
66,1504.6,0.70813,1.15171,0.88566,1,0.94646,0.995,0.64942,1.24921,2.07255,1.14482,0.000713,0.000713,0.000713
67,1518.97,0.88425,1.42478,0.96922,1,0.94646,0.995,0.64942,1.24921,2.07255,1.14482,0.0006932,0.0006932,0.0006932
